"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"213","Just came out of the closet. #gayrights",FALSE,2,NA,2016-12-09 19:14:34,FALSE,NA,"807302435345600512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","legitmigitman",0,FALSE,FALSE,NA,NA
"214","Who is wearing purple today? #PurpleFriday #gayrights https://t.co/I45gmws93X",FALSE,0,NA,2016-12-09 17:52:49,FALSE,NA,"807281865363247104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","verabos",0,FALSE,FALSE,NA,NA
"215","Who is wearing purple today? #PurpleFriday #gayrights https://t.co/fOD4BMKSVt",FALSE,0,NA,2016-12-09 17:50:33,FALSE,NA,"807281291989286913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","verabos",0,FALSE,FALSE,NA,NA
"216","RT @xjustinstears: "" a certificate on paper isn<U+2019>t gonna solve it all but it<U+2019>s a damn good place to start ""

#gayrights 1970-2016 https://t.<U+2026>",FALSE,0,NA,2016-12-09 16:55:49,FALSE,NA,"807267517286617088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fcknrandomness",4,TRUE,FALSE,NA,NA
"217","RT @xjustinstears: "" a certificate on paper isn<U+2019>t gonna solve it all but it<U+2019>s a damn good place to start ""

#gayrights 1970-2016 https://t.<U+2026>",FALSE,0,NA,2016-12-09 13:26:11,FALSE,NA,"807214762920706048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","padaleckid",4,TRUE,FALSE,NA,NA
"218","RT @xjustinstears: "" a certificate on paper isn<U+2019>t gonna solve it all but it<U+2019>s a damn good place to start ""

#gayrights 1970-2016 https://t.<U+2026>",FALSE,0,NA,2016-12-09 09:02:26,FALSE,NA,"807148386981965825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AVRILand1D",4,TRUE,FALSE,NA,NA
"219",""" a certificate on paper isn<U+2019>t gonna solve it all but it<U+2019>s a damn good place to start ""

#gayrights 1970-2016 https://t.co/7ejbJrsoJ7",FALSE,2,NA,2016-12-09 08:57:42,FALSE,NA,"807147196642656256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xjustinstears",4,FALSE,FALSE,NA,NA
"220","Pic Tip No. 34 Same Sex Marriage https://t.co/Tf93x3pjE5 #lovewins #gayrights #love https://t.co/XrUoYEjEia",FALSE,0,NA,2016-12-09 08:37:35,FALSE,NA,"807142133656338433",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","MarketingPicz",0,FALSE,FALSE,NA,NA
"221","RT @wonkydoc: How is this still happening?! #TransRights #LGBTQrights #GayRights @TurnbullMalcolm time to act https://t.co/jc1a1Fdhrp @Chan<U+2026>",FALSE,0,NA,2016-12-09 06:48:38,FALSE,NA,"807114718414454785",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LardyGag",2,TRUE,FALSE,NA,NA
"222","RT @wonkydoc: How is this still happening?! #TransRights #LGBTQrights #GayRights @TurnbullMalcolm time to act https://t.co/jc1a1Fdhrp @Chan<U+2026>",FALSE,0,NA,2016-12-09 06:38:10,FALSE,NA,"807112081673568256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","julieroot4",2,TRUE,FALSE,NA,NA
"223","RT @QueerstoryApp: Meet the Activists Running London's First Queer Tour of #LGBTHistory #gayrights #activism @NikkiSinclaire7 https://t.co/<U+2026>",FALSE,0,NA,2016-12-09 06:37:20,FALSE,NA,"807111871543189508",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","julieroot4",2,TRUE,FALSE,NA,NA
"224","'Eat, Pray, Love' in the #USA: meet the man visiting all 413 national #parks in one trip #gayrights
 https://t.co/97uEW5FIkE",FALSE,1,NA,2016-12-09 06:23:32,FALSE,NA,"807108400664420352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnimalAdvocacy1",0,FALSE,FALSE,NA,NA
